monthly_income,monthly_spend,savings_rate
60717.8,20236.99,0.67
45282.11,15697.93,0.65
39402.2,18077.22,0.54
46711.84,25031.46,0.46
44101.38,17115.54,0.61
43232.24,24178.46,0.44
49913.33,14351.47,0.71
51060.06,22649.02,0.56
40755.99,27207.84,0.33
40393.45,7641.78,0.81
42799.59,16015.52,0.63
26584.63,22885.36,0.14
32878.47,18984.77,0.42
55934.99,21855.73,0.61
58159.74,16980.07,0.71
43007.71,20432.95,0.52
49612.46,19221.61,0.61
47490.0,25838.91,0.46
69631.05,21272.1,0.69
53956.6,21688.01,0.6
43976.66,17940.62,0.59
37355.68,17561.97,0.53
32148.43,17837.21,0.45
46627.71,21972.26,0.53
38949.19,17895.08,0.54
33621.97,21448.87,0.36
39827.42,30377.0,0.24
36347.62,24355.62,0.33
58497.13,18369.88,0.69
52053.12,26006.07,0.5
44936.22,17959.62,0.6
56839.55,9809.38,0.83
45618.95,14959.57,0.67
38109.73,10646.04,0.72
57184.99,18242.43,0.68
49311.28,20092.09,0.59
36702.03,28382.19,0.23
43477.29,21634.64,0.5
37995.05,18904.5,0.5
33937.6,24147.03,0.29
52409.42,8944.32,0.83
60275.33,21178.07,0.65
33811.46,23854.33,0.29
49503.75,12607.07,0.75
39794.86,25718.77,0.35
41103.0,21692.48,0.47
40260.85,17923.56,0.55
38088.07,23163.91,0.39
45388.17,31353.46,0.31
38352.4,20909.33,0.45
47163.65,21241.1,0.55
44598.1,17703.2,0.6
43088.42,15750.78,0.63
37739.49,24151.68,0.36
40385.83,15719.58,0.61
51043.13,20357.83,0.6
49007.34,17611.71,0.64
37179.56,22394.9,0.4
45794.66,21668.31,0.53
51011.1,25187.7,0.51
31644.76,17449.92,0.45
49346.88,18650.63,0.62
39699.01,15106.18,0.62
49564.79,17778.53,0.64
38893.93,21886.5,0.44
