YearSold,SqFt,Bedrooms,Bathrooms,GarageCars,LotSize,SalePrice,ZipCode
2008,1926,1,1,0,9973,333415,10004
2006,2019,1,1,2,10577,362945,10002
2010,1573,5,1,1,10070,304270,10003
2006,1676,4,2,1,13473,336445,10004
2006,1791,4,1,0,10666,324565,10004
2008,846,4,2,1,10609,209371,10002
2006,1068,3,1,0,8490,220976,10003
2007,1169,5,1,2,5600,264334,10004
2007,1435,4,2,0,8783,330109,10001
2009,1929,3,2,0,11146,355320,10004
2010,2493,2,1,0,6971,448549,10002
2006,2482,2,2,0,3205,417635,10003
2006,1456,3,1,2,14951,312263,10003
2008,919,3,2,2,14312,259282,10003
2007,1630,5,3,1,3990,318515,10004
2010,2610,5,3,2,7299,517045,10004
2009,1881,2,3,2,14997,400970,10001
2007,2774,4,3,1,5572,519165,10003
2009,2169,2,3,2,7975,425558,10002
2008,1540,4,1,0,8320,352066,10002
2008,916,4,3,0,6380,214785,10003
2006,2653,5,3,1,14350,513380,10002
2010,1950,1,3,1,6757,357308,10004
2009,2731,1,3,1,4713,468179,10003
