STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05
GHCND:US-SEATTLE-T1,SEATTLE,20140205,57,3,3,90,33,84,212,37,180,115,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140206,113,15,3,36,35,124,101,210,166,152,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140207,136,12,6,45,42,33,70,292,48,132,1,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140208,103,5,7,46,39,92,327,101,7,9,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140209,106,6,1,50,34,115,150,316,77,83,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140210,46,0,0,83,56,120,171,122,31,188,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140211,72,12,3,81,52,50,161,92,15,103,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140212,68,16,8,78,46,21,208,120,70,64,-9999,-9999,-9999,1,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140213,119,4,1,69,51,92,310,120,197,133,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140214,7,10,1,86,33,134,83,41,74,99,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140215,139,1,7,36,48,103,149,98,160,65,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140216,87,17,2,75,41,102,355,303,120,136,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140217,72,5,1,63,38,86,252,113,172,152,-9999,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140218,6,10,3,35,38,64,3,156,198,119,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140219,21,2,8,35,61,71,128,58,133,56,1,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140220,44,4,1,66,52,148,17,211,132,102,-9999,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140221,46,4,4,91,37,125,295,101,68,186,-9999,-9999,-9999,-9999,1
GHCND:US-SEATTLE-T1,SEATTLE,20140222,47,16,0,93,44,87,70,357,157,187,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140223,65,6,6,74,33,121,259,213,49,117,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140224,142,6,0,55,43,66,99,56,146,37,-9999,-9999,-9999,-9999,1
GHCND:US-SEATTLE-T1,SEATTLE,20140225,48,2,6,94,43,94,14,280,119,127,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140226,93,6,1,59,47,108,306,119,165,12,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140227,20,1,6,64,61,145,242,248,81,148,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140228,19,17,0,88,29,131,21,225,88,74,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140301,108,16,2,42,52,57,20,324,108,198,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140302,63,0,5,44,57,104,88,246,64,76,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140303,18,16,6,50,63,109,122,149,154,183,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140304,68,8,4,61,33,130,59,115,31,102,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140305,38,12,4,51,53,117,312,267,167,121,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140306,37,11,4,83,60,22,359,104,43,121,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140307,44,18,8,81,25,148,345,188,125,1,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140308,45,8,3,80,51,131,167,7,97,80,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140309,65,13,9,94,41,120,353,82,80,71,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140310,120,10,9,60,59,43,356,263,152,181,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140311,50,10,1,58,56,40,323,308,171,119,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140312,113,0,8,72,29,35,170,49,146,29,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140313,12,6,4,38,27,106,74,192,197,116,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140314,29,1,8,60,33,99,105,110,116,110,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140315,98,19,1,35,53,30,27,302,84,12,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140316,72,14,9,77,58,94,140,156,105,14,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140317,1,11,9,52,27,91,53,44,141,142,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140318,2,8,3,83,46,125,154,19,48,31,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140319,111,6,9,73,50,129,358,105,61,104,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140320,45,5,7,89,58,123,113,179,2,52,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140321,29,4,9,42,38,79,61,19,137,56,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140322,16,0,1,82,29,111,320,121,12,176,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140323,137,8,3,51,45,49,38,302,163,126,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140324,37,4,2,57,36,128,315,295,50,30,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140325,18,16,3,89,59,84,146,73,107,62,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140326,72,14,7,84,39,110,39,85,52,32,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140327,0,3,5,94,36,116,140,199,82,168,-9999,-9999,-9999,1,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140328,134,16,7,50,45,140,204,159,160,24,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140329,55,10,9,62,35,80,287,52,175,91,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140330,7,0,4,59,57,104,289,66,116,149,-9999,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140331,59,17,2,37,46,62,277,323,164,105,-9999,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140401,122,1,8,63,49,63,337,201,158,179,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140402,50,9,4,94,50,107,182,35,49,183,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140403,21,18,8,62,64,22,156,99,136,116,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140404,15,14,8,51,40,117,81,323,191,144,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140405,139,11,2,61,48,24,274,181,155,32,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140406,128,15,9,68,57,138,359,196,67,63,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140407,29,19,6,88,28,21,123,312,145,13,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140408,118,13,3,79,33,113,88,187,54,82,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140409,146,9,0,73,31,38,181,198,105,114,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140410,9,9,1,94,62,80,24,297,177,160,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140411,23,3,9,82,28,26,84,154,62,10,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140412,128,0,2,84,43,146,307,357,163,94,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140413,70,13,0,39,35,52,285,52,15,148,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140414,33,6,2,43,58,143,183,171,54,39,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140415,4,4,9,57,61,112,177,289,168,29,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140416,37,3,5,62,40,124,312,44,55,27,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140417,65,3,5,35,36,82,298,148,121,82,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140418,63,0,3,35,46,81,317,277,54,98,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140419,59,2,0,85,33,95,220,23,38,52,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140420,145,5,7,61,54,70,201,130,11,171,-9999,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140421,13,6,4,65,60,107,119,313,91,152,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140422,88,16,1,44,31,87,139,131,65,175,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140423,149,7,0,85,56,46,249,262,84,57,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140424,44,14,0,63,27,33,18,303,60,195,-9999,-9999,-9999,1,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140425,78,9,5,80,51,73,319,144,97,45,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140426,18,3,9,72,27,126,42,121,99,132,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140427,10,7,3,35,36,45,194,303,187,23,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140428,57,15,4,49,43,132,63,60,102,122,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140429,7,7,7,77,34,99,120,2,24,93,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140430,31,8,4,63,52,45,268,359,37,142,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140501,148,6,9,45,42,120,271,96,195,28,-9999,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140502,111,10,1,47,62,131,58,59,66,179,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140503,98,7,4,86,27,38,48,131,183,75,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140504,23,10,6,75,35,70,114,276,122,113,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140505,10,0,2,52,59,104,225,335,11,160,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140506,73,1,6,46,53,20,295,206,129,22,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140507,122,8,9,60,27,69,101,43,48,105,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140508,6,2,5,38,42,81,153,213,197,49,-9999,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140509,128,17,1,82,52,115,52,314,96,51,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140510,50,2,4,54,28,90,326,315,163,187,1,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140511,75,3,0,81,48,113,149,307,61,189,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140512,60,17,5,47,37,133,103,277,88,119,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140513,89,3,3,72,47,29,229,31,101,110,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140514,121,7,3,66,44,89,303,25,133,23,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140515,111,13,8,61,44,20,348,353,51,62,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140516,78,15,2,45,30,63,318,115,34,187,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140517,39,17,7,87,58,53,290,190,190,188,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140518,84,3,2,89,58,24,253,142,153,102,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140519,14,16,6,38,59,138,121,287,97,145,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140520,134,2,3,94,57,102,185,219,150,35,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140521,87,9,2,57,49,33,26,141,89,46,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140522,139,1,6,90,50,24,219,337,34,55,-9999,-9999,-9999,1,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140523,76,16,9,78,36,75,145,96,22,20,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140524,134,19,6,80,58,102,103,279,95,18,-9999,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140525,20,4,4,39,61,117,324,108,47,8,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140526,35,4,1,37,27,30,52,340,34,196,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140527,57,3,0,49,46,31,321,212,66,50,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140528,101,16,9,39,37,77,326,10,122,47,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140529,138,8,6,60,36,90,99,38,127,38,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140530,21,5,9,80,58,99,44,313,194,1,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140531,90,7,4,86,44,148,94,302,170,120,1,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140601,54,8,5,85,36,100,76,39,183,143,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140602,144,13,1,92,37,80,93,75,56,139,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140603,132,10,8,54,62,48,251,48,113,51,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140604,128,19,3,65,34,86,337,241,4,21,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140605,143,1,4,90,51,67,186,353,39,24,-9999,-9999,-9999,1,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140606,96,11,9,59,39,73,126,268,6,118,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140607,71,7,8,49,27,129,50,249,3,170,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140608,9,15,0,40,44,20,340,64,12,24,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140609,39,1,4,46,27,95,8,215,10,30,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140610,127,7,5,39,61,132,22,275,124,176,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140611,99,9,3,90,28,112,265,110,73,119,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140612,128,17,2,75,27,117,142,5,50,127,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140613,62,0,4,74,53,68,337,236,43,154,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140614,76,14,0,94,29,58,324,258,119,110,1,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140615,44,4,0,42,45,44,321,3,30,73,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140616,75,15,9,84,41,40,298,37,193,129,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140617,83,16,6,93,29,45,285,333,169,48,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140618,34,14,5,60,51,88,95,148,96,82,-9999,-9999,-9999,-9999,1
GHCND:US-SEATTLE-T1,SEATTLE,20140619,18,13,5,94,64,126,87,333,100,119,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140620,9,0,8,46,35,99,178,225,93,37,-9999,-9999,-9999,-9999,1
GHCND:US-SEATTLE-T1,SEATTLE,20140621,95,0,5,61,59,28,193,65,81,32,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140622,133,9,8,80,64,146,25,97,163,199,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140623,126,2,4,78,38,118,95,171,188,21,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140624,41,6,5,93,41,105,237,136,150,91,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140625,76,3,7,61,48,104,173,267,136,189,-9999,-9999,1,-9999,1
GHCND:US-SEATTLE-T1,SEATTLE,20140626,60,13,7,87,25,40,203,334,137,147,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140627,17,6,6,63,33,81,153,253,110,99,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140628,18,17,6,44,44,22,14,51,60,63,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140629,112,6,0,79,52,102,155,264,177,86,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140630,28,2,3,81,26,118,60,3,25,127,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140701,46,8,2,68,37,138,312,215,161,115,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140702,85,11,1,41,63,105,97,309,61,46,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140703,29,2,6,62,34,27,96,137,88,198,1,-9999,1,1,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140704,86,1,4,47,36,50,2,121,85,45,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140705,113,14,3,44,50,140,76,103,148,60,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140706,52,17,5,38,46,142,165,341,16,130,1,-9999,-9999,1,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140707,69,18,1,50,39,141,134,336,169,179,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140708,87,1,1,80,35,128,77,66,109,197,1,1,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140709,78,3,5,44,39,134,268,173,44,64,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140710,13,15,9,69,38,123,0,116,194,188,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140711,146,12,2,63,57,130,143,80,54,72,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140712,21,14,2,42,38,69,95,76,46,192,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140713,129,12,3,69,39,34,83,83,179,59,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140714,42,9,2,49,33,31,273,220,190,123,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140715,31,14,8,89,37,71,302,109,100,19,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140716,128,17,7,93,40,110,246,313,84,95,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140717,67,19,8,60,54,125,98,317,103,61,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140718,38,19,5,83,35,99,270,207,116,82,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140719,18,12,4,58,60,100,258,307,61,0,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140720,121,11,6,52,52,69,136,185,137,10,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140721,105,15,3,88,32,47,31,159,108,93,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140722,142,11,0,89,27,40,300,312,101,100,1,-9999,1,1,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140723,72,12,0,69,56,85,39,242,81,79,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140724,138,14,1,68,42,123,189,55,61,123,-9999,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140725,68,13,4,70,38,115,266,276,78,188,1,-9999,-9999,-9999,-9999
